Isolate,Env_Color,Geo_Color,clade_col
ERR1007500,#33a02c,#a6cee3,#841e5a
ERR1007501,#33a02c,#a6cee3,#841e5a
ERR1036024,#cab2d6,#a6cee3,#841e5a
SRR14024953,#33a02c,#e36951,#841e5a
SRR14022736,#cab2d6,#e36951,#841e5a
ERR1036025,#cab2d6,#a6cee3,#841e5a
ERR984987,#cab2d6,#a6cee3,#841e5a
ERR985123,#cab2d6,#a6cee3,#841e5a
ERR985068,#cab2d6,#a6cee3,#841e5a
ERR987519,#cab2d6,#a6cee3,#841e5a
ERR985080,#cab2d6,#a6cee3,#841e5a
ERR987508,#cab2d6,#a6cee3,#841e5a
ERR987526,#cab2d6,#a6cee3,#841e5a
ERR985117,#cab2d6,#a6cee3,#841e5a
ERR985120,#cab2d6,#a6cee3,#841e5a
ERR1069046,#cab2d6,#a6cee3,#841e5a
ERR987602,#cab2d6,#a6cee3,#841e5a
ERR374683,#e31a1c,#a6cee3,#841e5a
ERR374697,#e31a1c,#a6cee3,#841e5a
ERR375015,#e31a1c,#a6cee3,#841e5a
ERR375031,#e31a1c,#a6cee3,#841e5a
ERR374724,#e31a1c,#a6cee3,#841e5a
ERR375143,#e31a1c,#a6cee3,#841e5a
ERR374944,#e31a1c,#a6cee3,#841e5a
ERR375494,#e31a1c,#a6cee3,#841e5a
ERR375030,#e31a1c,#a6cee3,#841e5a
ERR374753,#e31a1c,#a6cee3,#841e5a
ERR375079,#e31a1c,#a6cee3,#841e5a
ERR375135,#e31a1c,#a6cee3,#841e5a
ERR374919,#e31a1c,#a6cee3,#841e5a
ERR375195,#e31a1c,#a6cee3,#841e5a
ERR369997,#e31a1c,#a6cee3,#841e5a
ERR985043,#cab2d6,#a6cee3,#841e5a
ERR985047,#cab2d6,#a6cee3,#841e5a
ERR985130,#cab2d6,#a6cee3,#841e5a
ERR985102,#cab2d6,#a6cee3,#841e5a
ERR985045,#cab2d6,#a6cee3,#841e5a
ERR375162,#e31a1c,#a6cee3,#841e5a
ERR374987,#e31a1c,#a6cee3,#841e5a
ERR985074,#cab2d6,#a6cee3,#841e5a
ERR985133,#cab2d6,#a6cee3,#841e5a
SRR14026545,#e31a1c,#e36951,#841e5a
ERR375170,#e31a1c,#a6cee3,#841e5a
ERR374776,#e31a1c,#a6cee3,#841e5a
ERR375076,#e31a1c,#a6cee3,#841e5a
ERR374977,#e31a1c,#a6cee3,#841e5a
ERR374928,#e31a1c,#a6cee3,#841e5a
ERR375412,#e31a1c,#a6cee3,#841e5a
ERR374762,#e31a1c,#a6cee3,#841e5a
ERR1036062,#cab2d6,#a6cee3,#841e5a
ERR375509,#e31a1c,#a6cee3,#841e5a
ERR374962,#e31a1c,#a6cee3,#841e5a
ERR375268,#e31a1c,#a6cee3,#841e5a
ERR1069049,#cab2d6,#a6cee3,#841e5a
ERR375480,#e31a1c,#a6cee3,#841e5a
SRR14010988,#e31a1c,#e36951,#841e5a
ERR377436,#e31a1c,#a6cee3,#841e5a
ERR375355,#e31a1c,#a6cee3,#841e5a
ERR375502,#e31a1c,#a6cee3,#841e5a
ERR985098,#cab2d6,#a6cee3,#841e5a
ERR369971,#e31a1c,#a6cee3,#841e5a
ERR370031,#e31a1c,#a6cee3,#841e5a
ERR369985,#e31a1c,#a6cee3,#841e5a
ERR375312,#e31a1c,#a6cee3,#841e5a
ERR377439,#e31a1c,#a6cee3,#841e5a
ERR369990,#e31a1c,#a6cee3,#841e5a
ERR375354,#e31a1c,#a6cee3,#841e5a
ERR375491,#e31a1c,#a6cee3,#841e5a
ERR375530,#e31a1c,#a6cee3,#841e5a
ERR370001,#e31a1c,#a6cee3,#841e5a
ERR377457,#e31a1c,#a6cee3,#841e5a
ERR388698,#e31a1c,#a6cee3,#841e5a
ERR375193,#e31a1c,#a6cee3,#841e5a
ERR375495,#e31a1c,#a6cee3,#841e5a
ERR375322,#e31a1c,#a6cee3,#841e5a
ERR375337,#e31a1c,#a6cee3,#841e5a
ERR377486,#e31a1c,#a6cee3,#841e5a
ERR985088,#cab2d6,#a6cee3,#841e5a
