,Study_accession,Sample_accession,Run_accession,Isolate_name,Isolate_name_paper,Species,BAPS_group,Sequence_Type,Country/Province,Origin,Location,Habitat,Source_code,Ampicillin,Vancomycin,Teicoplanin,Doxycycline,Erythromycin,Nitrofurantoin,Gentamicin,Linezolid,Levofloxacin,Quinolone,Streptomycin,Tigecycline,Read_status,R1,R2,Clade
0,PRJNA604849,SAMN14000316,SRR14026455,EntR-0041,EntR_0041,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Wastewater Agr.,CB,S,S,S,I,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026455/SRR14026455_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026455/SRR14026455_2.fastq.gz,CladeB
1,PRJNA604849,SAMN14000315,SRR14026462,EntR-0008,EntR_0008,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,I,R,S,S,S,R,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026462/SRR14026462_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026462/SRR14026462_2.fastq.gz,Clade A
2,PRJNA604849,SAMN14000314,SRR14026496,EntR-0001,EntR_0001,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,R,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026496/SRR14026496_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026496/SRR14026496_2.fastq.gz,Clade A
3,PRJNA604849,SAMN14000312,SRR14026467,SWEnt-1195,SWEnt_1195,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,R,I,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026467/SRR14026467_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026467/SRR14026467_2.fastq.gz,Clade A
4,PRJNA604849,SAMN14000311,SRR14026460,SWEnt-1194,SWEnt_1194,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,S,S,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026460/SRR14026460_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026460/SRR14026460_2.fastq.gz,CladeB
5,PRJNA604849,SAMN14000310,SRR14026448,SWEnt-1193,SWEnt_1193,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,S,S,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026448/SRR14026448_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026448/SRR14026448_2.fastq.gz,CladeB
6,PRJNA604849,SAMN14000309,SRR14026477,SWEnt-1192,SWEnt_1192,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,I,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026477/SRR14026477_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026477/SRR14026477_2.fastq.gz,CladeB
7,PRJNA604849,SAMN14000308,SRR14026446,SWEnt-1171,SWEnt_1171,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026446/SRR14026446_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026446/SRR14026446_2.fastq.gz,Clade A
8,PRJNA604849,SAMN14000307,SRR14026445,SWEnt-1169,SWEnt_1169,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,I,S,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026445/SRR14026445_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026445/SRR14026445_2.fastq.gz,Clade A
9,PRJNA604849,SAMN14000306,SRR14026453,SWEnt-1160,SWEnt_1160,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,S,I,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026453/SRR14026453_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026453/SRR14026453_2.fastq.gz,Clade A
10,PRJNA604849,SAMN14000305,SRR14026484,SWEnt-1143,SWEnt_1143,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,I,S,S,S,I,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026484/SRR14026484_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026484/SRR14026484_2.fastq.gz,Clade A
11,PRJNA604849,SAMN14000304,SRR14026459,SWEntR-0365,SWEntR_0365,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,R,S,S,S,I,I,I,S,Validated download,genomes/zaheer_2020_alberta/SRR14026459/SRR14026459_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026459/SRR14026459_2.fastq.gz,Clade A
12,PRJNA604849,SAMN14000303,SRR14026452,SWEntR-0364,SWEntR_0364,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026452/SRR14026452_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026452/SRR14026452_2.fastq.gz,Clade A
13,PRJNA604849,SAMN14000302,SRR14026488,SWEntR-0363,SWEntR_0363,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,R,S,S,S,I,R,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026488/SRR14026488_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026488/SRR14026488_2.fastq.gz,Clade A
14,PRJNA604849,SAMN14000301,SRR14026476,SWEntR-0358,SWEntR_0358,Enterococcus faecium,,,Canada/Alberta,Feedlot A,"51.4962° N, 113.5103° W",Natural Water,NWS,S,S,S,R,R,S,S,S,S,S,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026476/SRR14026476_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026476/SRR14026476_2.fastq.gz,Clade A
15,PRJNA604849,SAMN14000300,SRR14026486,SWEntR-0335,SWEntR_0335,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,I,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026486/SRR14026486_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026486/SRR14026486_2.fastq.gz,CladeB
16,PRJNA604849,SAMN14000299,SRR14026471,SWEntR-0269,SWEntR_0269,Enterococcus faecium,,,Canada/Alberta,Feedlot C,"50.3494° N, 113.7750° W",Natural Water,NWS,S,S,S,I,R,S,S,S,S,I,S,S,Validated download,genomes/zaheer_2020_alberta/SRR14026471/SRR14026471_1.fastq.gz,genomes/zaheer_2020_alberta/SRR14026471/SRR14026471_2.fastq.gz,CladeB
